coffee_shop_name,num_reviews,rating,coffee,tea,vibe,internet,food,alcohol,seating,service,parking,location,local,price,hours
Third Coast Coffee Roasting Company,56,4.821428571428571,0.75,0.0,0.16071428571428573,0.0,0.03571428571428571,0.03571428571428571,0.0,0.21428571428571427,0.05357142857142857,0.03571428571428571,0.07142857142857142,0.17857142857142858,0.03571428571428571
My Sweet Austin,31,4.67741935483871,0.0,0.0,,0.0,1.064516129032258,0.0,0.0,0.25806451612903225,0.03225806451612903,0.03225806451612903,-0.03225806451612903,0.0,0.0
Mary's Cafe,100,4.36,0.31,0.0,0.23,0.0,0.86,0.0,0.0,0.27,0.01,0.08,0.1,0.03,0.0
Anderson's Coffee Company,100,4.62,0.63,0.13,0.12,0.0,0.0,0.0,0.0,0.2,0.03,0.07,0.1,0.13,-0.02
Irie Bean Coffee Bar,100,4.3,0.56,0.06,0.43,0.03,0.15,0.14,0.3,0.61,0.01,0.04,0.09,0.04,0.03
Friends & Neighbors,29,4.551724137931035,0.3793103448275862,0.0,0.0,0.0,0.3103448275862069,0.10344827586206896,0.20689655172413793,0.4827586206896552,0.06896551724137931,0.034482758620689655,0.0,-0.034482758620689655,0.0
Emerald Tavern Games & Cafe,76,4.328947368421052,0.3157894736842105,0.013157894736842105,,0.0,0.3684210526315789,0.39473684210526316,0.06578947368421052,0.4605263157894737,0.039473684210526314,0.02631578947368421,0.0,0.07894736842105263,0.05263157894736842
The Marvelous Vintage Tea Party Co.,10,5.0,0.0,0.5,1.0,0.0,0.4,0.2,0.0,0.5,0.0,0.0,0.0,0.0,0.0
Venezia Italian Gelato,200,4.81,0.23,0.0,0.37,0.0,1.05,0.0,0.05,0.57,0.07,0.02,0.02,0.03,0.03
Caffe Medici,243,4.1193415637860085,0.6337448559670782,0.00411522633744856,0.43621399176954734,0.037037037037037035,0.09053497942386832,0.01646090534979424,0.12345679012345678,0.39094650205761317,0.00823045267489712,0.1522633744855967,0.00823045267489712,-0.012345679012345678,0.037037037037037035
Patika,100,4.35,0.95,0.13,0.62,0.05,0.35,0.06,0.24,0.4,0.05,0.08,0.02,-0.01,0.08
Genuine Joe,100,3.95,0.56,0.05,,0.0,0.25,0.0,0.17,0.15,0.07,0.03,0.05,-0.02,0.04
Mañana Coffee & Juice,33,4.848484848484849,0.6666666666666666,0.030303030303030304,0.5151515151515151,0.0,0.21212121212121213,0.0,0.21212121212121213,0.2727272727272727,0.0,0.12121212121212122,-0.030303030303030304,-0.06060606060606061,0.06060606060606061
